collection_frequency,hourly_collection_plan_id,row_count,timeBox_start_date,timeBox_start_time,timeBox_end_date,timeBox_end_time,ownerSequence,inputRequest_exists,Collection_id,Collection_customer,Collection_name,collection_frequency_requestOwner,Collection_earliestStartTime,Collection_expectedDeliveryTime,Collection_hints,Collection_status,Collection_customerPackagingId,input_filename,input_reference,owner_timebox_start_date,owner_timebox_start_time,owner_timebox_end_date,owner_timebox_end_time,provider,site,hierarchy_customer,hierarchy_customerSiteCode,hierarchy_priority,requests_count,enrichment_request_count,file_collection_frequency,file_hourly_collection_plan_id,grouped_row_count
Daily,17524,9270,20250702,0,20250702,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250702,0,20250702,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17524,111
Daily,17513,9270,20250701,0,20250701,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250701,0,20250701,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17513,110
Daily,17550,9270,20250703,0,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250703,0,20250703,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17550,108
Daily,17504,9270,20250701,0,20250701,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250701,0,20250701,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17504,108
Daily,17508,9271,20250701,0,20250701,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250701,0,20250701,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17508,107
Daily,17547,9271,20250703,0,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250703,0,20250703,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17547,107
Daily,17531,9270,20250702,0,20250702,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250702,0,20250702,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17531,106
Daily,17530,9270,20250702,0,20250702,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250702,0,20250702,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17530,106
Daily,17510,9270,20250701,0,20250701,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250701,0,20250701,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17510,106
Daily,17583,8460,20250702,500,20250702,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B4.csv,34338,20250702,500,20250702,1059,AI,F9,*,F9,1,1,0,Daily,17583,105
Daily,17511,9270,20250701,0,20250701,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250701,0,20250701,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17511,105
Daily,17549,9270,20250703,0,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250703,0,20250703,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17549,105
Daily,17598,8460,20250703,500,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B4.csv,34338,20250703,500,20250703,1059,AI,F9,*,F9,1,1,0,Daily,17598,105
Daily,17568,8460,20250701,500,20250701,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B4.csv,34338,20250701,500,20250701,1059,AI,F9,*,F9,1,1,0,Daily,17568,104
ChannelComparison,17473,192,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17473,100
ChannelComparison,17477,192,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17477,100
Daily,17483,6243,20250702,500,20250702,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B4.csv,34338,20250702,500,20250702,1059,SS,SKYS,*,SY,2,1,0,Daily,17483,100
Daily,17470,6243,20250701,500,20250701,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B4.csv,34338,20250701,500,20250701,1059,SS,SKYS,*,SY,2,1,0,Daily,17470,100
ChannelComparison,17471,192,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17471,100
ChannelComparison,17472,192,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17472,100
ChannelComparison,17474,192,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17474,100
ChannelComparison,17475,192,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17475,100
ChannelComparison,17476,192,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17476,100
ChannelComparison,17484,192,20250702,1700,20250702,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250702,1700,20250702,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17484,100
ChannelComparison,17485,192,20250702,1700,20250702,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250702,1700,20250702,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17485,100
ChannelComparison,17486,192,20250702,1700,20250702,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250702,1700,20250702,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17486,100
ChannelComparison,17487,192,20250702,1700,20250702,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250702,1700,20250702,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17487,100
ChannelComparison,17488,192,20250702,1700,20250702,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250702,1700,20250702,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17488,100
ChannelComparison,17489,192,20250702,1700,20250702,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250702,1700,20250702,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17489,100
ChannelComparison,17490,192,20250702,1700,20250702,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250702,1700,20250702,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17490,100
ChannelComparison,17497,192,20250703,1700,20250703,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250703,1700,20250703,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17497,100
